GEOID,NAME,variable,estimate,moe
17037,"DeKalb County, Illinois",B15003_021,6410,527
17037,"DeKalb County, Illinois",B15003_022,12476,762
17037,"DeKalb County, Illinois",B15003_023,5673,496
17037,"DeKalb County, Illinois",B15003_024,729,240
17037,"DeKalb County, Illinois",B15003_025,1131,318
17037,"DeKalb County, Illinois",B17001_001,99964,450
17037,"DeKalb County, Illinois",B19301_001,29780,742
17037,"DeKalb County, Illinois",B25002_001,41245,177
17037,"DeKalb County, Illinois",B25002_003,2629,429
17037,"DeKalb County, Illinois",B25007_001,38616,469
17037,"DeKalb County, Illinois",B25007_002,22375,668
17037,"DeKalb County, Illinois",B25024_001,41245,177
17037,"DeKalb County, Illinois",B25024_002,23710,576
17037,"DeKalb County, Illinois",B25024_003,3849,414
17037,"DeKalb County, Illinois",B25077_001,182300,4271
17039,"De Witt County, Illinois",B01001H_001,14887,22
17039,"De Witt County, Illinois",B01002_001,44.2,0.5
17039,"De Witt County, Illinois",B02001_001,15764,NA
17039,"De Witt County, Illinois",B02001_002,15239,72
17039,"De Witt County, Illinois",B07001_017,13701,376
17039,"De Witt County, Illinois",B07011_001,31261,1165
17039,"De Witt County, Illinois",B15003_001,11222,73
17039,"De Witt County, Illinois",B15003_017,3559,230
17039,"De Witt County, Illinois",B15003_018,890,180
17039,"De Witt County, Illinois",B15003_019,1097,191
17039,"De Witt County, Illinois",B15003_020,1642,238
17039,"De Witt County, Illinois",B15003_021,932,171
17039,"De Witt County, Illinois",B15003_022,1648,211
17039,"De Witt County, Illinois",B15003_023,423,118
17039,"De Witt County, Illinois",B15003_024,133,74
17039,"De Witt County, Illinois",B15003_025,83,62
17039,"De Witt County, Illinois",B17001_001,15426,90
17039,"De Witt County, Illinois",B19301_001,30910,1556
17039,"De Witt County, Illinois",B25002_001,7578,38
17039,"De Witt County, Illinois",B25002_003,846,168
17039,"De Witt County, Illinois",B25007_001,6732,175
17039,"De Witt County, Illinois",B25007_002,5129,207
17039,"De Witt County, Illinois",B25024_001,7578,38
17039,"De Witt County, Illinois",B25024_002,6333,162
17039,"De Witt County, Illinois",B25024_003,44,29
17039,"De Witt County, Illinois",B25077_001,103600,8455
17041,"Douglas County, Illinois",B01001H_001,17593,47
17041,"Douglas County, Illinois",B01002_001,38.2,0.8
17041,"Douglas County, Illinois",B02001_001,19551,NA
17041,"Douglas County, Illinois",B02001_002,18523,157
17041,"Douglas County, Illinois",B07001_017,17015,367
17041,"Douglas County, Illinois",B07011_001,30706,1347
17041,"Douglas County, Illinois",B15003_001,13086,68
17041,"Douglas County, Illinois",B15003_017,3779,316
17041,"Douglas County, Illinois",B15003_018,556,101
17041,"Douglas County, Illinois",B15003_019,1068,187
17041,"Douglas County, Illinois",B15003_020,1677,216
17041,"Douglas County, Illinois",B15003_021,1219,169
17041,"Douglas County, Illinois",B15003_022,1865,227
17041,"Douglas County, Illinois",B15003_023,576,111
17041,"Douglas County, Illinois",B15003_024,92,43
17041,"Douglas County, Illinois",B15003_025,91,44
17041,"Douglas County, Illinois",B17001_001,19187,175
17041,"Douglas County, Illinois",B19301_001,28603,1580
