GEOID,NAME,variable,estimate,moe
10740,"Albuquerque, NM Metro Area",B25002_001,392001,327
10740,"Albuquerque, NM Metro Area",B25002_003,34556,1448
10740,"Albuquerque, NM Metro Area",B25007_001,357445,1421
10740,"Albuquerque, NM Metro Area",B25007_002,240755,2493
10740,"Albuquerque, NM Metro Area",B25024_001,392001,327
10740,"Albuquerque, NM Metro Area",B25024_002,262182,2768
10740,"Albuquerque, NM Metro Area",B25024_003,17094,1142
10740,"Albuquerque, NM Metro Area",B25077_001,199700,2066
10760,"Alexander City, AL Micro Area",B01001H_001,34743,98
10760,"Alexander City, AL Micro Area",B01002_001,45.9,0.3
10760,"Alexander City, AL Micro Area",B02001_001,51146,NA
10760,"Alexander City, AL Micro Area",B02001_002,35310,275
10760,"Alexander City, AL Micro Area",B07001_017,44353,857
10760,"Alexander City, AL Micro Area",B07011_001,23951,1068
10760,"Alexander City, AL Micro Area",B15003_001,37078,194
10760,"Alexander City, AL Micro Area",B15003_017,10419,729
10760,"Alexander City, AL Micro Area",B15003_018,2546,367
10760,"Alexander City, AL Micro Area",B15003_019,2752,430
10760,"Alexander City, AL Micro Area",B15003_020,5359,621
10760,"Alexander City, AL Micro Area",B15003_021,2824,424
10760,"Alexander City, AL Micro Area",B15003_022,4076,532
10760,"Alexander City, AL Micro Area",B15003_023,1650,276
10760,"Alexander City, AL Micro Area",B15003_024,475,159
10760,"Alexander City, AL Micro Area",B15003_025,174,76
10760,"Alexander City, AL Micro Area",B17001_001,50146,217
10760,"Alexander City, AL Micro Area",B19301_001,25524,1097
10760,"Alexander City, AL Micro Area",B25002_001,29180,107
10760,"Alexander City, AL Micro Area",B25002_003,8805,528
10760,"Alexander City, AL Micro Area",B25007_001,20375,544
10760,"Alexander City, AL Micro Area",B25007_002,15504,492
10760,"Alexander City, AL Micro Area",B25024_001,29180,107
10760,"Alexander City, AL Micro Area",B25024_002,20132,566
10760,"Alexander City, AL Micro Area",B25024_003,257,114
10760,"Alexander City, AL Micro Area",B25077_001,104200,5738
10780,"Alexandria, LA Metro Area",B01001H_001,96494,93
10780,"Alexandria, LA Metro Area",B01002_001,37.7,0.3
10780,"Alexandria, LA Metro Area",B02001_001,152715,NA
10780,"Alexandria, LA Metro Area",B02001_002,99844,434
10780,"Alexandria, LA Metro Area",B07001_017,131225,1628
10780,"Alexandria, LA Metro Area",B07011_001,25808,705
10780,"Alexandria, LA Metro Area",B15003_001,102704,225
10780,"Alexandria, LA Metro Area",B15003_017,30913,1379
10780,"Alexandria, LA Metro Area",B15003_018,7464,731
10780,"Alexandria, LA Metro Area",B15003_019,5723,552
10780,"Alexandria, LA Metro Area",B15003_020,17164,1049
10780,"Alexandria, LA Metro Area",B15003_021,6758,818
10780,"Alexandria, LA Metro Area",B15003_022,12776,1059
10780,"Alexandria, LA Metro Area",B15003_023,5292,699
10780,"Alexandria, LA Metro Area",B15003_024,1415,328
10780,"Alexandria, LA Metro Area",B15003_025,927,317
10780,"Alexandria, LA Metro Area",B17001_001,145478,635
10780,"Alexandria, LA Metro Area",B19301_001,26843,783
10780,"Alexandria, LA Metro Area",B25002_001,67994,288
10780,"Alexandria, LA Metro Area",B25002_003,11865,777
10780,"Alexandria, LA Metro Area",B25007_001,56129,846
10780,"Alexandria, LA Metro Area",B25007_002,36880,920
10780,"Alexandria, LA Metro Area",B25024_001,67994,288
10780,"Alexandria, LA Metro Area",B25024_002,46169,1130
10780,"Alexandria, LA Metro Area",B25024_003,1051,242
10780,"Alexandria, LA Metro Area",B25077_001,144500,5751
10820,"Alexandria, MN Micro Area",B01001H_001,36193,36
10820,"Alexandria, MN Micro Area",B01002_001,44.3,0.3
10820,"Alexandria, MN Micro Area",B02001_001,37820,NA
10820,"Alexandria, MN Micro Area",B02001_002,36617,114
10820,"Alexandria, MN Micro Area",B07001_017,33506,495
10820,"Alexandria, MN Micro Area",B07011_001,35355,1112
10820,"Alexandria, MN Micro Area",B15003_001,27119,72
10820,"Alexandria, MN Micro Area",B15003_017,7540,435
10820,"Alexandria, MN Micro Area",B15003_018,747,167
10820,"Alexandria, MN Micro Area",B15003_019,1889,206
10820,"Alexandria, MN Micro Area",B15003_020,3368,272
10820,"Alexandria, MN Micro Area",B15003_021,4993,320
10820,"Alexandria, MN Micro Area",B15003_022,5186,383
10820,"Alexandria, MN Micro Area",B15003_023,1423,223
10820,"Alexandria, MN Micro Area",B15003_024,440,116
10820,"Alexandria, MN Micro Area",B15003_025,317,124
10820,"Alexandria, MN Micro Area",B17001_001,37326,77
10820,"Alexandria, MN Micro Area",B19301_001,36559,1744
